INSTNM,top_50
Stanford University,1
Princeton University,1
University of Chicago,1
California Institute of Technology,1
Harvard University,1
Yale University,1
Columbia University,1
Massachusetts Institute of Technology,1
Pomona College,1
Duke University,1
Washington and Lee University,1
Vanderbilt University,1
Dartmouth College,1
Olin College of Engineering,1
Rice University,1
Williams College,1
University of Pennsylvania,1
Bowdoin College,1
Webb Institute,1
Brown University,1
Haverford College,1
Swarthmore College,1
The Cooper Union for the Advancement of Science and Art,1
Bates College,1
Wesleyan University,1
The top 25 public universities,1
"University of Washington, Seattle",1
"University of Washington, Bothell",1
Massachusetts Maritime Academy,1
"University of Michigan, Ann Arbor",1
"Georgia Institute of Technology, Atlanta",1
"Purdue University, West Lafayette",1
William & Mary,1
Michigan Technological University,1
"University of California, Los Angeles",1
Baruch College,1
"University of California, San Diego",1
"University of California, Riverside",1
New Mexico Institute of Mining and Technology,1
Missouri University of Science and Technology,1
"University of California, Irvine",1
Montana Tech,1
California State University Maritime Academy (tie),1
"University of Virginia, Charlottesville (tie)",1
"University of California, Santa Barbara",1
"California State Polytechnic University, Pomona",1
"University of California, Davis",1
"North Carolina State University, Raleigh",1
SUNY Maritime College,1
"University of Delaware, Newark",1
"University of California, Berkeley",1
